id,language
1, Abkhazian
2, Afar
3, Afrikaans
4, Akan
5, Albanian
6, Amharic
7, Arabic
8, Aragonese
9, Armenian
10, Assamese
11, Avaric
12, Avestan
13, Aymara
14, Azerbaijani
15, Bambara
16, Bashkir
17, Basque
18, Belarusian
19, Bengali
20, Bihari
21, Bislama
22, Bosnian
23, Breton
24, Bulgarian
25, Burmese
26, Catalan
27, Chamorro
28, Chechen
29, Chichewa
30, Chinese (Cantonese)
31, Chinese (Mandarin)
32, Chinese (Other)
33, Chinese (Taiwanese)
34, Chuvash
35, Cornish
36, Corsican
37, Cree
38, Croatian
39, Czech
40, Danish
41, Divehi
42, Dutch
43, Dzongkha
44, English
45, Esperanto
46, Estonian
47, Ewe
48, Faroese
49, Fijian
50, Filipino (Other)
51, Filipino (Tagalog)
52, Finnish
53, French
54, Fulah
55, Galician
56, Ganda
57, Georgian
58, German
59, Greek
60, Guarani
61, Gujarati
62, Haitian
63, Hausa
64, Hebrew
65, Herero
66, Hindi
67, Hungarian
68, Icelandic
69, Ido
70, Igbo
71, Indonesian
72, Interlingua
73, Interlingue
74, Inuktitut
75, Inupiaq
76, Irish
77, Italian
78, Japanese
79, Javanese
80, Kalaallisut
81, Kannada
82, Kanuri
83, Kashmiri
84, Kazakh
85, Khmer
86, Kikuyu
87, Kinyarwanda
88, Kirghiz
89, Kirundi
90, Komi
91, Kongo
92, Korean
93, Kurdish
94, Kwanyama
95, Lao
96, Latin
97, Latvian
98, Limburgish
99, Lingala
100, Lithuanian
101, Luba-Katanga
102, Luxembourgish
103, Macedonian
104, Malagasy
105, Malay
106, Malayalam
107, Maltese
108, Manx
109, Māori
110, Marathi
111, Marshallese
112, Moldavian
113, Mongolian
114, Nauru
115, Navajo
116, Ndonga
117, Nepali
118, North Ndebele
119, Norwegian
120, Norwegian Bokmål
121, Norwegian Nynorsk
122, Occitan
123, Ojibwa
124, Old Church Slavonic
125, Oriya
126, Oromo
127, Ossetian
128, Other
129, Pāli
130, Panjabi
131, Pashto
132, Persian
133, Polish
134, Portuguese
135, Quechua
136, Romanian
137, Romansh
138, Russian
139, Samoan
140, Sango
141, Sanskrit
142, Sardinian
143, Scottish Gaelic
144, Serbian
145, Shona
146, Sichuan Yi
147, Sindhi
148, Sinhalese
149, Slovak
150, Slovene
151, Somali
152, Sotho
153, South Ndebele
154, Spanish
155, Sundanese
156, Swahili
157, Swati
158, Swedish
159, Tahitian
160, Tajik
161, Tamil
162, Tatar
163, Telugu
164, Thai
165, Tibetan
166, Tigrinya
167, Tonga
168, Tswana
169, Turkish
170, Turkmen
171, Twi
172, Uighur
173, Ukrainian
174, Urdu
175, Uzbek
176, Venda
177, Viêt Namese
178, Volapük
179, Walloon
180, Welsh
181, Western Frisian
182, Wolof
183, Xhosa
184, Yiddish
185, Yoruba
186, Zhuang
187, Zulu
